system:index,annual_mean_wind_speed,elevation,lat,lon,year,.geo
1_0,4.140284637771415,1691,42.7104335711534,-105.59313598442327,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,1.8446320205316604,362,34.870941680144526,-85.68645722022849,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,4.398710120095893,1225,35.525037573422466,-103.18469953232747,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,2.571038086607035,1912,43.486821910913775,-108.86553902920039,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,4.185394772343772,2170,41.508556480254086,-105.71686515289012,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,3.757059932886942,1590,42.792658630874776,-106.04067081048237,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,1.5439178725508447,3189,38.28520116048329,-106.44962919285359,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,4.8540622932816655,891,44.72914936115541,-102.79986386009632,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,2.3620934606685537,70,32.2630568012585,-93.84667800446904,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,2.790201649548523,67,46.05641987681737,-72.44329290018183,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,2.277474217018274,23,31.855437136601353,-91.28525266208683,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,2.613897964397449,2110,37.197292151303394,-104.57384772367973,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,2.3737784322326725,67,50.64938534124469,-81.80114468206654,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,3.234056220280189,378,33.303368616556185,-113.35239209859702,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,3.7078325551903606,680,50.78700902049556,-109.5473070440554,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,2.033561097978284,456,37.14855609427609,-83.14009780711295,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,2.43455217361266,297,42.988357829047594,-76.29912916040985,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,1.3023227420794705,680,48.46471314732004,-116.4306461799201,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,2.573796549959551,41,45.11525433654349,-67.21067621338486,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,4.523090223984409,239,50.74792470087827,-97.06316074874245,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,4.605351387588167,409,33.68301681613843,-99.47278821035107,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,4.15318043174122,295,28.397854771552257,-100.62158157677622,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,3.9542050321749698,670,51.417922617699055,-103.43106971543452,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,3.5721153582898415,687,51.546465129304714,-109.85314593589572,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,2.3338296690270623,229,39.24592560572367,-86.445870356755,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,3.194897664743363,265,47.45640852024864,-96.76055699064023,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,2.9793070825134724,10,30.284750569657312,-85.7761540412432,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,4.069422922635935,887,49.0357114960683,-108.29222059466402,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,3.4818565574833666,386,49.884337245828696,-99.24742269208741,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,2.604440979740569,822,30.7922086135154,-111.18311617727662,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,1.8553555432509607,1389,30.501057483042555,-108.80557761985908,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,2.4957566927924764,277,49.87548282442381,-80.7510189374112,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,2.113468200126517,1260,44.96444626176567,-119.6701784394401,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,1.8609878074000448,35,30.38707659628675,-83.78866129997294,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,4.275042118705845,635,38.217901639091124,-99.20381190679264,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
45_0,2.069301200867583,94,33.12511014828783,-89.89911796130006,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
46_0,4.464673967511133,852,31.57885336451095,-103.29491747677578,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
47_0,4.127379182811528,1750,40.94486739074534,-104.5623222956649,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
48_0,2.1738381504402033,261,38.423230539180125,-84.80323730694596,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
49_0,2.0777592289735294,699,34.95296014560516,-115.94312736434291,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
50_0,2.1372160919363172,89,33.21009842875348,-93.25821326865018,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
51_0,2.5037687696937083,361,50.47991197844995,-93.52493282332881,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
52_0,3.8749764624388088,963,47.365438780114474,-108.59215921966312,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
53_0,1.0307266910545496,732,49.20984563931475,-119.7568491571583,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
54_0,2.3996297319028606,1577,36.54411100759626,-114.1564796256758,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
55_0,2.604624887115558,354,49.959620799356756,-94.98768242748879,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
57_0,2.2234832987941853,33,31.372732796990864,-92.50709946460458,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
58_0,1.8261030628834565,2236,45.5652278161838,-110.8695247259812,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
59_0,2.3704135115210545,864,36.959189440879534,-114.71846125907388,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
60_0,4.884041998635751,1322,44.51246231278639,-105.735984592009,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
62_0,2.367278697120209,1720,46.84543475108867,-111.82028360362641,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
63_0,2.8198505641428975,46,33.82169090845921,-90.91037244783193,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
65_0,2.0407585662794148,228,38.570031607208506,-82.51114409942969,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
66_0,2.0928864836640435,120,32.66028953238712,-86.76460056616781,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
68_0,2.3437407196459508,333,37.700831611609814,-91.2420778328704,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
69_0,3.130507451070157,296,51.06998405337634,-76.1168702830675,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
70_0,4.111694053312461,634,40.057737421626996,-99.4022886347174,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
71_0,3.531188267216417,251,46.35216733249498,-86.30993089276055,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
72_0,2.658516842524869,202,46.335050448214865,-119.0738084015822,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
73_0,2.5948681697584504,142,44.40003942722519,-76.50778468209408,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
74_0,2.5488657401815322,351,50.557735101026346,-88.66397265264591,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
76_0,1.195639929682926,1850,44.701063681999415,-113.96416225057042,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
78_0,2.5111035469618983,285,50.121202463719,-79.9012500068994,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
79_0,4.6535444383838565,1379,36.367148807109565,-102.95867066524396,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
80_0,2.5838465613497013,415,49.69660237572635,-70.67730804729578,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
81_0,3.19445015417318,1944,41.8863287851783,-119.30987417147375,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
82_0,2.096564132181298,383,43.76396724111975,-73.91707767863697,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
83_0,4.359656022065992,418,41.661674595509304,-94.71230916475842,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
84_0,4.908821947577929,83,43.97692138302931,-77.96624584406457,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
85_0,4.630209984834584,73,43.302798143545324,-79.19901115244409,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
